Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
37	16.873106	52.85677	66.046906	-53.30149	774.2	-1.840741	22.051992	27.716465	-30.04357	152000	-1.3232231e-08	1519.3673	-0.0070906	-495.05005	1.0217732	0.00850447	0.08475	79.0	408.53542709350586
38	58.82552	73.97622	126.35547	-64.3752	838.5	-10.250629	20.760605	23.801428	-31.050531	156000	2.6226044e-09	1689.6006	-0.008916779	-771.41516	0.9585464	0.009019198	0.0725	79.0	419.3378469944
39	58.662704	91.756905	133.50224	-96.82973	900.0	-5.8551903	23.29	29.092157	-30.50584	160000	9.417534e-09	2338.4976	-0.00615143	-563.864	1.0770938	0.0068437452	0.065	79.0	429.99241065979004
40	69.553955	60.425625	132.42387	-30.261215	859.75	5.529332	20.919445	28.84748	-29.000225	164000	-1.1920929e-09	1487.513	-0.009228684	-102.91699	1.0118574	0.0059693432	0.09375	79.0	441.0008146762848
41	61.328087	54.71	119.93806	-14.331506	757.0	5.6136465	17.93575	27.058962	-25.276136	168000	5.722046e-09	1716.221	-0.009976261	-74.47363	1.0164422	0.009668146	0.0385	79.0	451.6976692676544
42	39.235497	67.58028	108.37516	-70.12744	778.6	8.197623	15.948232	28.506962	-30.11353	172000	-5.1259996e-09	2102.325	-0.0060423356	-275.77478	1.019584	0.0060354345	0.03375	79.0	462.89646887779236
43	119.88581	20.741951	149.03838	92.814865	1000.0	-19.280687	13.786819	24.58003	-29.546919	176000	2.5272369e-08	1158.8375	-0.008327922	-814.0999	1.0112283	0.014205133	0.1795	79.0	473.66012835502625
44	46.8108	45.917007	90.13828	-30.366581	877.0	8.405979	20.517912	29.463228	-27.530476	180000	-2.1457671e-09	829.2306	-0.006271308	-188.76892	1.0377135	0.004851928	0.0965	79.0	485.6104714870453
45	35.972664	92.96374	107.73275	-123.184845	931.0	8.211238	17.636179	28.760307	-27.65169	184000	-2.3841857e-09	1588.9341	-0.009778065	-294.12463	1.0226305	0.0057351706	0.0995	79.0	496.82012128829956
46	87.65011	65.05369	151.46133	-15.523288	894.0	-8.231077	12.43292	18.716803	-26.349787	188000	-3.0994416e-09	1720.3821	-0.00686677	-329.32153	0.97580963	0.008140792	0.0625	79.0	506.474360704422
47	1.7416306	29.187157	29.873844	-37.698658	1000.0	2.680376	10.399768	24.807709	-19.87275	192000	-1.3113022e-09	591.60046	-0.0065451274	-237.38202	1.008238	0.005267653	0.05975	79.0	517.1321494579315
48	-18.215885	40.3841	33.396652	-66.52578	943.25	-7.4861813	7.342179	24.606766	-15.724898	196000	3.5762787e-10	1370.6277	-0.007762738	-168.64612	0.9895874	0.004103844	0.052	79.0	528.3143737316132
49	21.068888	54.087757	76.51951	-44.87665	1000.0	-13.258562	5.8386335	14.726347	-21.570261	200000	-3.9339065e-09	709.63654	-0.007133352	-91.29755	0.9967881	0.0076909196	0.06475	79.0	539.1511726379395
